id,date,value,x,y
124843,28/09/2017,99.0,46.88761909999999,9.656999599999999
124846,28/09/2017,11463.0,37.9161636,-81.0975397
124704,27/09/2017,875.0,36.204824,138.252924
124848,27/09/2017,6520.0,46.5268387,6.654838199999999
124711,27/09/2017,44.0,41.5911589,1.5208624
124847,27/09/2017,875.0,36.204824,138.252924
124709,27/09/2017,11463.0,37.9161636,-81.0975397
124708,27/09/2017,476.0,46.7784736,6.641183
124707,27/09/2017,6520.0,46.5268387,6.654838199999999
124706,27/09/2017,99.0,46.88761909999999,9.656999599999999
124125,26/09/2017,6520.0,46.5268387,6.654838199999999
124127,26/09/2017,99.0,46.88761909999999,9.656999599999999
124128,26/09/2017,5118.0,46.5196535,6.6322734
124129,26/09/2017,11463.0,37.9161636,-81.0975397
124124,26/09/2017,6520.0,46.5268387,6.654838199999999
125215,25/09/2017,99.0,46.88761909999999,9.656999599999999
125217,25/09/2017,11463.0,37.9161636,-81.0975397
125026,24/09/2017,318.0,46.3832683,6.2347852
125029,24/09/2017,2716.0,46.2180073,6.121692500000001
125027,24/09/2017,2896.0,51.165691,10.451526
125019,24/09/2017,476.0,46.7784736,6.641183
125018,24/09/2017,5118.0,46.5196535,6.6322734
125020,24/09/2017,2546.0,46.9751954,6.771554999999999
125022,24/09/2017,2716.0,46.2180073,6.121692500000001
125023,24/09/2017,1156.0,46.9479739,7.4474468
125030,24/09/2017,2546.0,46.9751954,6.771554999999999
125032,24/09/2017,318.0,46.3832683,6.2347852
125033,24/09/2017,2546.0,46.9751954,6.771554999999999
125034,24/09/2017,2716.0,46.2180073,6.121692500000001
125035,24/09/2017,2716.0,46.2180073,6.121692500000001
125037,24/09/2017,2546.0,46.9751954,6.771554999999999
125038,24/09/2017,3.0,46.8720321,8.2689076
125039,24/09/2017,11463.0,37.9161636,-81.0975397
125025,24/09/2017,2546.0,46.9751954,6.771554999999999
125045,23/09/2017,5118.0,46.5196535,6.6322734
125044,23/09/2017,11463.0,37.9161636,-81.0975397
124751,22/09/2017,11463.0,37.9161636,-81.0975397
124755,22/09/2017,1284.0,46.9899874,6.9292732
124754,22/09/2017,11463.0,37.9161636,-81.0975397
124752,22/09/2017,3548.0,46.1904614,7.5449226
124083,21/09/2017,64.0,6.42375,-66.58973
124085,21/09/2017,11463.0,37.9161636,-81.0975397
124082,21/09/2017,1532.0,46.8064773,7.161971899999999
124081,21/09/2017,23.0,35.5086218,12.59292
125332,20/09/2017,1156.0,46.9479739,7.4474468
125327,20/09/2017,1156.0,46.9479739,7.4474468
125329,20/09/2017,1156.0,46.9479739,7.4474468
125334,20/09/2017,288.0,40.6578242,-84.9519115
125335,20/09/2017,1156.0,46.9479739,7.4474468
125336,20/09/2017,21.0,46.2972352,7.3989039
125326,20/09/2017,1156.0,46.9479739,7.4474468
125337,20/09/2017,11463.0,37.9161636,-81.0975397
125324,20/09/2017,1156.0,46.9479739,7.4474468
125322,20/09/2017,1156.0,46.9479739,7.4474468
125320,20/09/2017,682.0,46.331734,8.800452900000002
124922,19/09/2017,11463.0,37.9161636,-81.0975397
124924,19/09/2017,801.0,39.074208,21.824312
124923,19/09/2017,1156.0,46.9479739,7.4474468
125814,18/09/2017,2546.0,46.9751954,6.771554999999999
125810,17/09/2017,11463.0,37.9161636,-81.0975397
125809,17/09/2017,2896.0,51.165691,10.451526
125804,17/09/2017,8.0,47.013611,6.9849397
125803,17/09/2017,19.0,46.2522028,7.597251999999998
125805,17/09/2017,476.0,46.7784736,6.641183
125807,17/09/2017,161.0,12.238333,-1.561593
125806,17/09/2017,11463.0,37.9161636,-81.0975397
125813,16/09/2017,5118.0,46.5196535,6.6322734
125811,16/09/2017,414.0,-30.559482,22.937506
125812,16/09/2017,11463.0,37.9161636,-81.0975397
123615,15/09/2017,620.0,46.2331221,7.360625999999999
123613,15/09/2017,11463.0,37.9161636,-81.0975397
123882,15/09/2017,61.0,12.879721,121.774017
123614,15/09/2017,11463.0,37.9161636,-81.0975397
126018,14/09/2017,5118.0,46.5196535,6.6322734
125629,13/09/2017,6520.0,46.5268387,6.654838199999999
125630,13/09/2017,5.0,47.3544,7.322348899999999
123928,12/09/2017,1532.0,46.8064773,7.161971899999999
123926,12/09/2017,6520.0,46.5268387,6.654838199999999
123549,11/09/2017,540.0,46.4312213,6.9106799
123550,11/09/2017,9.0,46.43183399999999,6.9760367
123551,10/09/2017,11463.0,37.9161636,-81.0975397
123552,10/09/2017,8880.0,46.2043907,6.1431577
126125,09/09/2017,8880.0,46.2043907,6.1431577
126123,09/09/2017,11463.0,37.9161636,-81.0975397
126124,09/09/2017,5118.0,46.5196535,6.6322734
125541,08/09/2017,7.0,45.93813,6.090965000000001
125544,08/09/2017,166.0,60.47202399999999,8.468945999999999
125543,08/09/2017,11463.0,37.9161636,-81.0975397
125542,08/09/2017,6160.0,37.09024,-95.712891
125260,07/09/2017,182.0,4.570868,-74.297333
125265,07/09/2017,8880.0,46.2043907,6.1431577
125263,07/09/2017,288.0,40.6578242,-84.9519115
125261,07/09/2017,133.0,40.339852,127.510093
125262,07/09/2017,5118.0,46.5196535,6.6322734
124957,06/09/2017,63.0,43.54705200000001,-1.313968
124956,06/09/2017,133.0,40.339852,127.510093
124954,06/09/2017,123.0,21.916221,95.955974
124953,06/09/2017,182.0,4.570868,-74.297333
124468,05/09/2017,6160.0,37.09024,-95.712891
124467,05/09/2017,133.0,40.339852,127.510093
124465,05/09/2017,682.0,46.331734,8.800452900000002
124464,05/09/2017,1284.0,46.9899874,6.9292732
124462,05/09/2017,288.0,40.6578242,-84.9519115
124461,05/09/2017,58.0,46.71199650000001,6.3791102
124463,05/09/2017,8880.0,46.2043907,6.1431577
124458,05/09/2017,182.0,4.570868,-74.297333
124459,05/09/2017,2919.0,46.6816748,7.1172635
124460,05/09/2017,58.0,46.71199650000001,6.3791102
124380,04/09/2017,182.0,4.570868,-74.297333
124379,04/09/2017,2919.0,46.6816748,7.1172635
124377,04/09/2017,20.0,56.879635,24.603189
124381,04/09/2017,862.0,26.820553,30.802498
124378,04/09/2017,294.0,30.375321,69.34511599999999
124383,04/09/2017,139.0,46.2521873,6.9469598
124382,04/09/2017,2896.0,51.165691,10.451526
125434,03/09/2017,182.0,46.4691576,-72.53060649999999
125435,03/09/2017,11463.0,37.9161636,-81.0975397
125436,03/09/2017,590.0,56.130366,-106.346771
125437,03/09/2017,6160.0,37.09024,-95.712891
125438,03/09/2017,1284.0,46.9899874,6.9292732
125433,03/09/2017,847.0,47.1034892,6.832783800000001
124787,02/09/2017,5118.0,46.5196535,6.6322734
124786,02/09/2017,11463.0,37.9161636,-81.0975397
125439,02/09/2017,92.0,43.94931700000001,4.805528
124788,01/09/2017,214.0,46.5088127,6.496130099999999
124789,01/09/2017,8.0,46.496944,6.819166999999999
124790,01/09/2017,3548.0,46.1904614,7.5449226
124792,01/09/2017,11463.0,37.9161636,-81.0975397
124793,01/09/2017,847.0,47.1034892,6.832783800000001
124437,31/08/2017,511.0,-14.235004,-51.92528
124436,31/08/2017,847.0,47.1034892,6.832783800000001
124438,31/08/2017,566.0,52.3555177,-1.1743197
124435,31/08/2017,95.0,46.8806009,7.0427075
124401,30/08/2017,7823.0,46.5613135,6.536765
124405,30/08/2017,847.0,47.1034892,6.832783800000001
124402,30/08/2017,6520.0,46.5268387,6.654838199999999
124403,30/08/2017,8880.0,46.2043907,6.1431577
124400,30/08/2017,569.0,31.791702,-7.092619999999999
125283,29/08/2017,864.0,20.593684,78.96288
125286,29/08/2017,63.0,43.54705200000001,-1.313968
125287,29/08/2017,847.0,47.1034892,6.832783800000001
125288,29/08/2017,123.0,21.916221,95.955974
125290,29/08/2017,123.0,21.916221,95.955974
125284,29/08/2017,18.0,43.676647,4.6277769
125282,29/08/2017,6520.0,46.5268387,6.654838199999999
126139,28/08/2017,57.0,46.5296363,6.561525199999999
126138,28/08/2017,590.0,56.130366,-106.346771
126140,28/08/2017,17.0,46.51011399999999,6.558195100000001
124938,28/08/2017,106.0,47.3876664,8.2554295
126145,27/08/2017,6160.0,37.09024,-95.712891
126144,27/08/2017,51.0,23.69781,120.960515
126146,27/08/2017,11463.0,37.9161636,-81.0975397
126143,27/08/2017,288.0,40.6578242,-84.9519115
126142,27/08/2017,68.0,15.783471,-90.23075899999999
126141,27/08/2017,94.0,46.24998470000001,7.014266399999999
125526,26/08/2017,19.0,46.6335708,7.850828699999998
125532,25/08/2017,1.0,46.3509787,9.622044299999999
125531,25/08/2017,530.0,40.7127753,-74.0059728
125530,25/08/2017,37.0,23.1135925,-82.3665956
125529,25/08/2017,278.0,21.521757,-77.781167
125528,25/08/2017,5118.0,46.5196535,6.6322734
123914,24/08/2017,63.0,43.54705200000001,-1.313968
